District,geometry
Ariyalur,"POLYGON ((79.1913277494761 11.23154514549213, 79.19084036009463 11.22486342280877, 79.17880210982958 11.22036122958713, 79.17381447066134 11.20325937531999, 79.1479920784717 11.18991899846304, 79.14978311609798 11.18414827642187, 79.16480729272246 11.17859073507441, 79.19029421620519 11.17844320848735, 79.18411386376386 11.15447777422992, 79.1902208639018 11.15206658300644, 79.19937026692435 11.16363724965942, 79.21701021255132 11.16959177064376, 79.2193196787602 11.15915882641877, 79.22922956739069 11.15460054158177, 79.23129317513997 11.15669250585449, 79.22509155103432 11.15736391541242, 79.23110691025573 11.16330361107282, 79.22528312911317 11.16649333190179, 79.23048123122391 11.17184134110505, 79.22224011289097 11.17282405548582, 79.22146652685876 11.17915410188033, 79.22912897552186 11.17841216568894, 79.24049434224014 11.16606851465031, 79.26405752863212 11.17201641662439, 79.26438110650292 11.18609502266719, 79.26986262276188 11.18733412477008, 79.2716381848544 11.20091416915363, 79.28776411012564 11.20285092842767, 79.28720613835264 11.20808793610939, 79.29646373970985 11.2135204447128, 79.28806528138767 11.22621519467555, 79.29041915432055 11.24346281915382, 79.27723195449119 11.24768589698658, 79.26679621877054 11.26036016848701, 79.26402668008728 11.28801943854631, 79.25639804053719 11.28721565327982, 79.25217641690818 11.29588624555385, 79.24741154160944 11.29187763534463, 79.24622627742082 11.3098092733793, 79.25967606220058 11.3227019236549, 79.25901468458011 11.33310817150493, 79.26688598549987 11.33098082970156, 79.26475720927783 11.34363771460892, 79.28517500512243 11.34488318481118, 79.28866576321445 11.34838974489088, 79.28888421933129 11.35918303217125, 79.2817799250036 11.36216402215194, 79.27835745783045 11.37007843477198, 79.28550620115033 11.38009603250595, 79.29649674392965 11.38085633285351, 79.29010623881192 11.40207878630702, 79.29272208335755 11.41226547367273, 79.31462110488013 11.41860079099376, 79.34657846432475 11.41581373891296, 79.36252578153966 11.41860115072257, 79.37220567305343 11.41521256011163, 79.37805994031407 11.41125545767329, 79.373328446051 11.39843857078347, 79.38433781613736 11.39702058633105, 79.38553788496546 11.4018975315459, 79.3779468244864 11.40158262313957, 79.38013564664283 11.41036240300252, 79.39430525328487 11.40168068701416, 79.38999945041434 11.38788745474227, 79.39435832227883 11.37711732230662, 79.38948731978405 11.36861513977692, 79.39394336249626 11.36656885297026, 79.39550595883298 11.3533787771089, 79.40055869992415 11.34983371345515, 79.40568870986613 11.35393238627069, 79.40882744992695 11.36474595416252, 79.42425006219065 11.36049735806665, 79.42654136749019 11.36558774208066, 79.42870621372083 11.35710705424719, 79.43766369332485 11.35718600393096, 79.43705672199019 11.34902038997905, 79.43144253144771 11.34472510108259, 79.43791681650794 11.33354772684618, 79.44913529965442 11.33489688438374, 79.46345693309104 11.31828272526758, 79.47403598207495 11.31384097368203, 79.48776304312997 11.3167227783336, 79.49854877610517 11.31386315815826, 79.49528649347695 11.30332106411589, 79.50166840287454 11.29105211346433, 79.50109200129486 11.27274610474899, 79.50517204555354 11.26463782077883, 79.50391025535407 11.25782718297813, 79.49497464006765 11.25860061792423, 79.49510590961012 11.24846452102088, 79.51025187872131 11.22823069319196, 79.50037514269872 11.20296612438716, 79.48172693834761 11.17769084825409, 79.47228509288277 11.17725380292075, 79.46381012383819 11.17059365857051, 79.45575321543862 11.15594413681254, 79.4586311125359 11.1505003677978, 79.43065444564621 11.12056135052597, 79.41340243697294 11.0820333679456, 79.39273355311104 11.06351258853516, 79.34593913718152 11.04179826707639, 79.31101492869607 11.01823696116685, 79.3087187697555 11.02068462439593, 79.29076735113239 11.01409147773956, 79.27316637223038 10.99701444925745, 79.27485043729791 10.99381948358234, 79.26841424751956 10.98618357211421, 79.21209137331829 10.94094606700742, 79.20475083338431 10.94046279562156, 79.20289546815138 10.94930360347854, 79.17862047105797 10.93988203772591, 79.14206387075109 10.94070917838593, 79.12891073094551 10.93356904877265, 79.11003167871905 10.92509119740089, 79.08621154792468 10.92729914903657, 79.07918717185055 10.92420934198759, 79.06899879645732 10.91292177112291, 79.06388064947248 10.89908724647927, 79.04967905394523 10.88829418762668, 79.03427618809565 10.88649484296269, 79.00442352912262 10.89387546657957, 79.0018779926753 10.92221466097789, 78.98796032480919 10.92836785749068, 78.98108656089613 10.92078597189516, 78.97549659898891 10.94062796780651, 78.9444163330474 10.95738974074396, 78.95613913980952 10.97104475710989, 78.98302686439831 10.96540032416567, 78.97805576376254 10.97464775059325, 78.9860521981505 10.97789690401896, 78.9870276325193 11.00153638529599, 78.99333735513488 10.9991326026875, 79.0119101234535 11.0097861703955, 79.00663407620169 11.05641074845732, 79.00933638066948 11.06119401938855, 79.02010422792785 11.06235516915581, 79.01813322876558 11.06635347223499, 79.0261843662156 11.06807810122342, 79.03184276383251 11.08420183574617, 79.0542640495463 11.08705119555628, 79.06838309720223 11.10739820036667, 79.06419782237168 11.13087907990564, 79.05611698840835 11.13467199851397, 79.0582683196273 11.14239265759511, 79.06139275057501 11.14159315579957, 79.061850783387 11.15313085150763, 79.07388835016729 11.15840920192318, 79.07044792533156 11.17722974785465, 79.07773738017602 11.18343664378614, 79.07724780364327 11.18981711246983, 79.0662188472221 11.18974366933492, 79.06662091342446 11.20569286883091, 79.09499611847616 11.19989178657676, 79.09976260266205 11.23144953766609, 79.11225753495734 11.23178407467537, 79.10996670989579 11.24548432334291, 79.12245634878155 11.24966199440559, 79.1234015092723 11.26172698601164, 79.12995047853184 11.26077515075264, 79.13711670557154 11.26904400147953, 79.15133973194315 11.25386816948048, 79.15814845598652 11.25339797693516, 79.1582304489761 11.24040379499917, 79.17766002928698 11.23906786918684, 79.17950873144287 11.23413239159663, 79.18748852027903 11.23279786153211, 79.1913277494761 11.23154514549213))"
Chennai,"POLYGON ((80.25292639193947 12.98035179290099, 80.24329657107995 12.98394005638852, 80.24349153870361 12.98013366503665, 80.22107928488117 12.96574919776731, 80.20892725239082 12.97865283326172, 80.20357604429904 12.98348814706037, 80.20687522251359 12.99617058260634, 80.21336734472726 13.00659077174674, 80.19924123379599 13.01676408619369, 80.19971394444303 13.02239388267162, 80.20991432038966 13.02710389392962, 80.20013306269072 13.02992495387355, 80.1883512271275 13.02669987709771, 80.18162132056756 13.04889198857444, 80.18572185138237 13.07342246597409, 80.19018725603712 13.08185728298724, 80.19529742783408 13.08969791162934, 80.191965578149 13.10562592849385, 80.20069064505731 13.11841891320233, 80.20153820842165 13.12714776175983, 80.22316639281485 13.13071787333126, 80.22324204558402 13.12762168019646, 80.2418912445853 13.12862909445721, 80.24103924576463 13.14263584107124, 80.25500416131302 13.15001088079754, 80.2681942380737 13.14833362000059, 80.26520554450036 13.14091394782048, 80.27341243193825 13.13930510114955, 80.28632414784119 13.14599052993907, 80.30100976658753 13.1430042870183, 80.29791374252528 13.1349726621587, 80.30625997182028 13.13032538221069, 80.300820870287 13.12116809033517, 80.30540610151041 13.10980025138053, 80.30375876565455 13.10565802349902, 80.30144757184803 13.11210874812031, 80.29824127021851 13.10192521197899, 80.301691035413 13.0986982385329, 80.29687257490946 13.09928658940464, 80.29483778053918 13.09306320440339, 80.30063338502276 13.09114929510395, 80.30376030619323 13.10261665933143, 80.31097823885472 13.10882300937442, 80.28626759847094 13.06033081641408, 80.2830415935947 13.04578856938701, 80.27761015878184 13.01334812921283, 80.26690349330164 12.97527841686548, 80.25280189069474 12.97696259974424, 80.25292639193947 12.98035179290099))"
Coimbatore,"MULTIPOLYGON (((76.96756096096965 10.62877172563469, 76.97030527996475 10.62103456759127, 76.99039616954764 10.62511268820003, 76.98823222623633 10.61886136575947, 76.9951667357563 10.60656914694863, 76.99329244339162 10.58707951081084, 77.00110287100074 10.58419902906201, 77.00180129619292 10.57928412616155, 77.01737786429703 10.57979558589761, 77.02119488113891 10.5850044951614, 77.02276397507745 10.58133726040631, 77.03086405003592 10.58154173925993, 77.03673675789514 10.5955573756724, 77.04275167644875 10.58905139220803, 77.06452811318195 10.58715412846033, 77.06774395302108 10.57557166090345, 77.07335173049802 10.57980908741951, 77.07616696103651 10.59903561879884, 77.08451578667427 10.5959821101863, 77.08935719068188 10.58415792644718, 77.08065277220771 10.56663712570281, 77.08440901106707 10.56284638255454, 77.07666580238492 10.55999270240136, 77.0737886337385 10.54122557709877, 77.07659712026094 10.52930533946989, 77.07386612112464 10.51489636207748, 77.0785238529935 10.51355655748921, 77.07905504745253 10.50391010636639, 77.06060227927185 10.47456113968491, 77.07463362863911 10.46211066447563, 77.04173600281433 10.42364866515385, 77.05182303720346 10.40776504152348, 77.07005972257821 10.39444246224986, 77.08826161678024 10.37222652413482, 77.09015159422074 10.350738327312, 77.0804127341604 10.33541072302648, 77.0858373296291 10.32705646908084, 77.08372706685071 10.32187190086756, 77.0894923506915 10.32389746099909, 77.09310933582725 10.31154401904132, 77.0912323769727 10.31414849345828, 77.066210967762 10.2976805362278, 77.05650000557085 10.28692265885365, 77.0435168664103 10.28370513008775, 77.0528467345892 10.27253953517146, 77.0509154018244 10.26265786816612, 77.04044308528023 10.25271489347762, 77.01511683557356 10.24486834010185, 76.98257550585498 10.22039841945156, 76.96867524166913 10.23105229832498, 76.95072646345557 10.23275012391912, 76.93948701261559 10.23918244301541, 76.92168691661794 10.23246244878305, 76.91276720224465 10.23501389467555, 76.90838989068095 10.24112799945766, 76.90313569335763 10.24058192931261, 76.90558527304199 10.24819573724352, 76.90111648783568 10.25192896964626, 76.89751644952457 10.26261522051607, 76.87333495494426 10.27666807986805, 76.87319706009629 10.29850647809155, 76.86270053829924 10.29230617329131, 76.85497315948379 10.29310584685737, 76.85224169270003 10.28550869706874, 76.84856534691329 10.28544058421562, 76.84205749735565 10.29094285682743, 76.84458294204921 10.2951844103323, 76.84079885748133 10.29992014310017, 76.83003521725152 10.30392321798217, 76.83757930793877 10.33802724656022, 76.83606152302093 10.34615135230314, 76.84628323088646 10.35790567310835, 76.84874026954787 10.36863752680046, 76.84400217695895 10.37785284473307, 76.82366448282966 10.39543239728738, 76.83378046729479 10.40362671040441, 76.83354303368412 10.40810656626508, 76.8303391836065 10.41171778944448, 76.82451967604226 10.41032099391879, 76.81623445765416 10.42374458144735, 76.8282648055764 10.45083005256492, 76.83044520108524 10.49854307830049, 76.8430708327528 10.53736234589559, 76.8353355524938 10.54575131906819, 76.8396753065702 10.56489388974126, 76.834106668488 10.57470822540432, 76.83876715318161 10.59707381430513, 76.83274809594792 10.59998883811443, 76.82608092159734 10.59674958442582, 76.81740814936666 10.60382689549488, 76.81678986096335 10.61733396888758, 76.8104500839043 10.62428077393861, 76.81449679569062 10.63580956995571, 76.83009377480789 10.63790127432441, 76.85951685012259 10.63234711802511, 76.8826229956548 10.63950541304445, 76.88430069981752 10.64839643724582, 76.8785023452071 10.67165594506588, 76.87776280570898 10.6767869478594, 76.86734287017737 10.67989538076728, 76.8662135330282 10.68545059916585, 76.87142406646757 10.69281974113818, 76.86789230918276 10.69541077968381, 76.88249254989131 10.71750140176835, 76.89054840698344 10.71720929657181, 76.8932711179678 10.72190592501846, 76.88877083940275 10.73440849075928, 76.9045535815826 10.76261916124537, 76.90423921097084 10.77248341197992, 76.90717709464724 10.77920236389804, 76.90005254129181 10.80856168987015, 76.87156003496767 10.80857813037647, 76.86324508139546 10.81815126786677, 76.85050554429552 10.81887760621657, 76.84476137293905 10.82581882737702, 76.85282408376452 10.83424947783118, 76.84746154151696 10.84991559862601, 76.8331661592909 10.85993826134171, 76.82807779425485 10.87300744763564, 76.8124823331932 10.87685092433077, 76.79192614787348 10.88225082621472, 76.78213158920153 10.8913043534132, 76.76849908196709 10.88780730906012, 76.75479132485981 10.89519918589377, 76.74119773488763 10.89031621701986, 76.71574860541386 10.90750351407598, 76.69511352706769 10.91020555144507, 76.65929330154466 10.93055091139547, 76.65598758256095 10.93911334580429, 76.66472172272938 10.94363274755329, 76.66705618019864 10.96934447366857, 76.6859056015623 10.99022115488242, 76.6945467635224 11.02275666688672, 76.71002915462185 11.03427266015518, 76.71088510416428 11.03901654437806, 76.73803178943558 11.03958044717996, 76.76596842750098 11.02965235806994, 76.79177126842933 11.03795336405653, 76.80012971411509 11.05514750225547, 76.79602802407413 11.05640525449894, 76.78885807653904 11.04598295285103, 76.77741072762302 11.04229629363908, 76.76536268104297 11.04569117770575, 76.76056980894958 11.05271931294601, 76.74418802116031 11.05701191017158, 76.74128309314028 11.07311551966552, 76.75484099981236 11.07899901579202, 76.75154604481418 11.09311216119733, 76.7467940990685 11.09238968363707, 76.7388377780411 11.10394749268266, 76.74564113672915 11.108464985171, 76.74750667329437 11.1177484375404, 76.74641968522036 11.13765636365031, 76.73938644452886 11.13170578889111, 76.73443934949643 11.13613396431106, 76.72837137364002 11.13031754411941, 76.71770368207933 11.14754139861668, 76.70873061722426 11.14760144365175, 76.71218194903776 11.14231994381043, 76.70556010501491 11.14190817572177, 76.68961317450845 11.15923124252788, 76.69276241955009 11.17228511246799, 76.70113489196177 11.17654171702668, 76.69985299382068 11.18161110007225, 76.7067011675249 11.17957092865549, 76.7102959915668 11.1884594824192, 76.71777033353413 11.18659616178348, 76.72261543555396 11.19188488318088, 76.72843324339954 11.19140499504454, 76.72200059874871 11.20342681919237, 76.73170018541526 11.21564168911272, 76.72542119802995 11.21914429487333, 76.72528462608466 11.22562938618728, 76.72089714588662 11.22495198264795, 76.70665969798671 11.23807204179133, 76.69984874812127 11.24600078960481, 76.69990274701422 11.25711892729669, 76.70541636367432 11.26413120209332, 76.73698729163027 11.24487107833767, 76.7412044375348 11.25239107618728, 76.75545036784024 11.25084512720093, 76.75320859450107 11.25515143908768, 76.76753550875679 11.26406255324429, 76.76983104356788 11.27744896819536, 76.76497921102185 11.28411600854702, 76.76886962962976 11.28971889910798, 76.79021442865303 11.27927252260889, 76.79747659356997 11.29582452148452, 76.80685113377285 11.29919300325457, 76.817699017096 11.29013991132791, 76.82972878045894 11.29362240105303, 76.84252175887212 11.28752864163357, 76.85404055712604 11.29643946890644, 76.85359095725693 11.30639461951614, 76.85969302191546 11.30438723468319, 76.85930421621669 11.31391243830842, 76.85439210661048 11.3183479773773, 76.86063175495161 11.32439061303643, 76.85121810323295 11.32763690571869, 76.85465859551783 11.33328050319273, 76.84833487945116 11.33498148270928, 76.84963857625934 11.34411610897132, 76.85349081594848 11.34090117564881, 76.8605928601724 11.34756892016958, 76.86893881787222 11.345171945429, 76.86259962627179 11.35145023404112, 76.86710038777272 11.35523998343854, 76.87333990391352 11.35209561272239, 76.87696329222223 11.35885622483494, 76.8840807076586 11.35192252650347, 76.89059539206374 11.36158077133558, 76.88922308777535 11.36577896582668, 76.90303780664954 11.36255291328638, 76.90006999983069 11.35813876009576, 76.90311382993934 11.35108215411816, 76.93256716654156 11.36300554836743, 76.93265067848608 11.35711576148327, 76.93712880764843 11.3636810822162, 76.94948694676526 11.36588286000602, 76.93802938694671 11.36628214730331, 76.93485569923121 11.37058470811786, 76.92834842973627 11.36819776081808, 76.93401627113406 11.37651440061916, 76.94705357016619 11.37629974593659, 76.95727730960022 11.38117025470353, 76.97158143053866 11.38627292705399, 76.98081122216024 11.37827965108505, 76.98146915537728 11.38313600991899, 76.98759202315341 11.38229694334933, 77.01357399104688 11.36884314309663, 77.0253986847016 11.3734232436878, 77.02340948955634 11.3877869123362, 77.03247454696282 11.38489262149733, 77.04539222357232 11.40260941149518, 77.070390262101 11.40257288463096, 77.07043236835915 11.38616505877047, 77.07565883059061 11.39176110099407, 77.08114778334357 11.3878256452374, 77.09131517485548 11.39363078433325, 77.08844562886276 11.39703962677743, 77.09315947752793 11.39907837816469, 77.09147420646951 11.40341343508203, 77.11023876061034 11.40644791673799, 77.11307757766815 11.38101805973571, 77.13040730934989 11.37540679918447, 77.12949240654939 11.36672799340221, 77.13309053829778 11.36306542882653, 77.12928750591374 11.35424004254395, 77.14158700113927 11.33688049294045, 77.12612718122449 11.34005370941122, 77.10444303561763 11.33724818345695, 77.09761567762149 11.31883379474391, 77.09366299355236 11.31858079746587, 77.08990272752891 11.32890160162765, 77.09307046532979 11.33562323352544, 77.0837996934012 11.33704284844873, 77.08049055069841 11.34490206607751, 77.07134315316404 11.33741489078466, 77.06510375663311 11.3244153461913, 77.06861519643422 11.31523979448099, 77.06327377026832 11.31168587610233, 77.0540210783102 11.3231486816664, 77.04565977817629 11.32262432565216, 77.04513812552415 11.30320185987796, 77.05242225728142 11.29985142840076, 77.04615942711592 11.28530259653763, 77.02245013776371 11.27331699258519, 77.02020611881738 11.26132231267462, 77.0108430692523 11.26669651822976, 77.00705941276175 11.26432136643797, 77.01566120060397 11.23997120041059, 77.00847408950767 11.23051567445884, 77.01832076659014 11.21056150251138, 77.00915442034028 11.20927743880281, 77.0047037834529 11.19396800352058, 77.00661698138862 11.17275611889983, 77.01149076368785 11.17314281209116, 77.02691316371158 11.15853732833506, 77.0374602714744 11.15732021825352, 77.04977091559533 11.14138954569103, 77.05377399947054 11.12521587001646, 77.07660508825427 11.12041583122567, 77.07500103137255 11.11371698455122, 77.07981327036617 11.11140766133457, 77.08838147932187 11.11578094753276, 77.09942344533579 11.10428775117884, 77.1149580600665 11.10909666627816, 77.11250153941455 11.11260412837788, 77.13338450958753 11.11177927289521, 77.13847937132596 11.12951588305162, 77.12124941762659 11.12513737808757, 77.11513761151161 11.1535563711297, 77.09795226598436 11.16905556426292, 77.10595183990557 11.17312091719663, 77.11872544782119 11.19602403897824, 77.12488186750426 11.19913410325631, 77.1400530652968 11.19568435245094, 77.15399443839266 11.1996311585512, 77.15736341029321 11.19717032385142, 77.16123323892288 11.16721053673695, 77.17461453583223 11.16679968955407, 77.18539977058299 11.15972758645898, 77.17497799413917 11.15474771383595, 77.17853198716153 11.14585610237725, 77.17460868754097 11.13911548039516, 77.18186623084193 11.13645315169163, 77.18985578181895 11.1492545027931, 77.19423734627657 11.14830392118904, 77.22366418165672 11.12473450968992, 77.2323711721919 11.12813161598132, 77.23605922175574 11.13808523414627, 77.24445207730156 11.13710511071235, 77.27025870617439 11.1057555382875, 77.25191530724567 11.10651112708689, 77.24231590595434 11.10252029377659, 77.23981024274855 11.07201239775401, 77.23569462220911 11.06704076741755, 77.17386333662375 11.05066621197614, 77.16570499998579 11.0581704851798, 77.16722055548428 11.06542348690442, 77.14643597923708 11.0512664635765, 77.1454503222746 11.0384577200478, 77.1529278541372 11.03487242522232, 77.16883687012552 11.00744234019191, 77.15656436445391 10.99527733767906, 77.17826380033415 10.94458589042654, 77.18077205808407 10.92505925528047, 77.20069776289148 10.92258470232218, 77.20614563731135 10.91008811887161, 77.21841449353411 10.90626342451748, 77.22941037109183 10.91108215211966, 77.25786027113469 10.89639472663538, 77.26649904269669 10.85921919670864, 77.28779460473726 10.85188754837174, 77.28970198765666 10.83255109285869, 77.29860658352709 10.81501674472702, 77.27777486571756 10.80309092410693, 77.27554717396299 10.79169044785596, 77.27984125417061 10.78901377766374, 77.23290105723805 10.77594653570412, 77.20776850890962 10.79025333572292, 77.21387455666553 10.80414553748659, 77.20262190917384 10.80232272141649, 77.18270351855261 10.79824892025152, 77.16784017758221 10.7999346481655, 77.15735260943541 10.79450581778929, 77.15893974377423 10.77893527064629, 77.15245706803933 10.77944631759351, 77.15535021853782 10.77234192613901, 77.1520377123706 10.76511361620049, 77.14252300653158 10.76785490987623, 77.13643799661628 10.75464969482761, 77.1321320291699 10.75351706975704, 77.13883668636402 10.73141324652414, 77.07844642226462 10.72680531731157, 77.07112003046507 10.71288095219421, 77.07663808797741 10.6871342604378, 77.06683236152435 10.68626452608709, 77.07189114785825 10.68087946211756, 77.07490059328779 10.66550543033139, 77.06796917203974 10.66310977489627, 77.0558974777864 10.64665161937677, 77.0472613313454 10.66026992271878, 77.02555384383487 10.65745896575874, 77.02139591738774 10.64037527779686, 76.99240563001587 10.65051444768369, 76.98674485459145 10.64678808700069, 76.98891354452451 10.66936617850638, 76.99240014954734 10.67170697529673, 76.98235477085603 10.67481773654936, 76.98508731862489 10.66911178637986, 76.98192401358244 10.66782694925433, 76.97244334258625 10.67354345836395, 76.96671897879787 10.67096744748977, 76.96295985401412 10.67570380438713, 76.96151938021529 10.66638605817008, 76.96689930186136 10.65683030907155, 76.96311249774362 10.64940275073639, 76.9566331539969 10.6480146390644, 76.95523329987697 10.64377297314422, 76.95900870958434 10.6423364230875, 76.97178007369149 10.6343420094762, 76.96756096096965 10.62877172563469)), ((77.40228123748915 11.12205688891436, 77.40351904906493 11.10838912825574, 77.42013104441224 11.10378484849201, 77.43511898555278 11.09292148873578, 77.4312372498992 11.07633708099155, 77.41900417949932 11.06889206591615, 77.40361889359713 11.07492776510435, 77.40520636608096 11.08162371416313, 77.39761152934864 11.09005996289704, 77.38564646231447 11.08622491464814, 77.3748190538563 11.09063688158687, 77.36942729893076 11.08124275145184, 77.35745142114621 11.07948182312771, 77.32758053021735 11.08405332440145, 77.33096298655266 11.09981387221251, 77.3130490687596 11.10578264295464, 77.2957718772704 11.10904635730361, 77.2876241328475 11.12932049364593, 77.29145251712004 11.13255265438153, 77.29009905003119 11.1418341795038, 77.30983247888582 11.1489484203334, 77.31601906812557 11.16475357541719, 77.31327716381014 11.17090264314254, 77.30704675960033 11.16882505543202, 77.30681062640934 11.1747414361684, 77.31375897739497 11.17608638128149, 77.31728186826365 11.18844701331903, 77.32339227953014 11.19385178413256, 77.32188544925413 11.20801100090699, 77.33527861451648 11.22418992142781, 77.33330854165592 11.25761471005086, 77.33639403105974 11.25756365104172, 77.33467878110093 11.26347751367638, 77.3412689204244 11.26751721614664, 77.34834693836058 11.28810899573364, 77.3447067974808 11.30071749621555, 77.33454458786252 11.30608617273873, 77.33335331979993 11.31676315969213, 77.36358520669199 11.31729171464099, 77.36383754566623 11.30196202482762, 77.37696075423548 11.29549729866147, 77.39009247129059 11.25736962410889, 77.3857560213234 11.25662938403889, 77.3821661795256 11.23911262754575, 77.37315326481138 11.23760762019555, 77.37373049017003 11.22382435780793, 77.37989789237389 11.22210063083946, 77.38481302819872 11.20661047229549, 77.40552159014931 11.19953223492473, 77.40098581894046 11.15706832624232, 77.39085953453997 11.15864146173413, 77.39635191281059 11.1359385065569, 77.37675849760666 11.13534443959423, 77.37724892849531 11.1267940363158, 77.39208298124464 11.11889838894956, 77.40228123748915 11.12205688891436)))"
